# Original taken from
# https://github.com/beroth/relationfactory/blob/master/resources/manual_annotation/context_patterns2012.txt


#per:alternate_names $ARG1 formerly known as $ARG2
#per:alternate_names $ARG1 aka $ARG2
#per:alternate_names $ARG1 a.k.a. $ARG2
#per:alternate_names $ARG1 a. k. a. $ARG2
#per:alternate_names $ARG1 is also known as $ARG2
#per:alternate_names $ARG1 is known as $ARG2
#per:alternate_names $ARG1 , also known as $ARG2
#per:alternate_names $ARG1 , better known as $ARG2
#per:alternate_names $ARG1 , best known as $ARG2
#per:alternate_names $ARG1 , aka $ARG2
#per:alternate_names $ARG1 , a.k.a. $ARG2
#per:alternate_names $ARG1 , a. k. a. $ARG2
#per:alternate_names $ARG1 ( also known as $ARG2 )
#per:alternate_names $ARG1 ( better known as $ARG2 )
# This overgeneralizes too much (e.g. actors playing roles).
#per:alternate_names $ARG1 ( $ARG2 )
#per:alternate_names $ARG1 ( aka $ARG2 )
#per:alternate_names $ARG1 ( a.k.a. $ARG2 )
#per:alternate_names $ARG1 ( a. k. a. $ARG2 )

#org:alternate_names $ARG1 formerly known as $ARG2
#org:alternate_names $ARG1 aka $ARG2
#org:alternate_names $ARG1 a.k.a. $ARG2
#org:alternate_names $ARG1 is also known as $ARG2
#org:alternate_names $ARG1 is known as $ARG2
#org:alternate_names $ARG1 , also known as $ARG2
#org:alternate_names $ARG1 , better known as $ARG2
#org:alternate_names $ARG1 , best known as $ARG2
#org:alternate_names $ARG1 ( also known as $ARG2 )
#org:alternate_names $ARG1 ( better known as $ARG2 )
#org:alternate_names $ARG1 formerly known as `` $ARG2
#org:alternate_names $ARG1 aka `` $ARG2
#org:alternate_names $ARG1 a.k.a. `` $ARG2
#org:alternate_names $ARG1 is also known as `` $ARG2
#org:alternate_names $ARG1 is known as `` $ARG2
#org:alternate_names $ARG1 , also known as `` $ARG2
#org:alternate_names $ARG1 , better known as `` $ARG2
#org:alternate_names $ARG1 , best known as `` $ARG2
#org:alternate_names $ARG1 ( also known as `` $ARG2 '' )
#org:alternate_names $ARG1 ( better known as `` $ARG2 '' )

# per:country_of_birth -> P19
P19	$ARG1 , the $ARG2-born
P19	$ARG1 , $ARG2-born
P19	$ARG1 was born in $ARG2
P19	$ARG1 is born in $ARG2
P19	$ARG1 , born in $ARG2
P19	$ARG1 , being born in $ARG2
P19	$ARG1 is a native $ARG2
P19	$ARG1 , a native $ARG2
P19	$ARG1 was born * in $ARG2
P19	$ARG1 was born * in * , $ARG2
P19	$ARG1 , born in * , $ARG2
P19	$ARG1 , born * in * , $ARG2
P19	$ARG1 is a native of $ARG2
P19	$ARG1 , a native of $ARG2
P19	$ARG2 born $ARG1
P19	$ARG2 -born $ARG1
P19	$ARG2 - born $ARG1

# per:origin -> P27 country of citizenship
P27	$ARG1 , a $ARG2 citizen
P27	$ARG1 , an $ARG2 citizen
P27	$ARG1 , who is a $ARG2 citizen
P27	$ARG1 , who is an $ARG2 citizen
P27	$ARG1 is a $ARG2 citizen
P27	$ARG1 , originally from $ARG2
P27	$ARG1 from $ARG2
P27	$ARG2 citizen $ARG1
P27	$ARG1 , born in $ARG2
P27	$ARG1 was born in $ARG2

# per:country_of_death -> P20
P20	$ARG1 died in $ARG2
P20	$ARG1 was killed in $ARG2
P20	$ARG1 succumbed to * in $ARG2
P20	$ARG1 passed away $ARG2
P20	$ARG1 who died in $ARG2
P20	$ARG1 who was killed in $ARG2
P20	$ARG1 who succumbed to * in $ARG2
P20	$ARG1 who passed away $ARG2
P20	$ARG1 , who died in $ARG2
P20	$ARG1 , who was killed in $ARG2
P20	$ARG1 , who succumbed to * in $ARG2
P20	$ARG1 , who passed away $ARG2
P20	$ARG1 died * in $ARG2
P20	$ARG1 , who died * in $ARG2
P20	$ARG1 died * in * , $ARG2
P20	$ARG1 , who died * in * , $ARG2


# per:countries_of_residence -> P551
# TODO: include frequent 'born-in' patterns
P551	$ARG1 grew up in $ARG2
P551	$ARG1 grew up in * , $ARG2
P551	$ARG1 lives in $ARG2
P551	$ARG1 lived in $ARG2
P551	$ARG1 lives in * $ARG2
P551	$ARG1 lived in * $ARG2
P551	$ARG1 lives in * , $ARG2
P551	$ARG1 lived in * , $ARG2
P551	$ARG1 moves to $ARG2
P551	$ARG1 moved to $ARG2
P551	$ARG1 moves to * $ARG2
P551	$ARG1 moved to * $ARG2
P551	$ARG1 moves to * , $ARG2
P551	$ARG1 moved to * , $ARG2
P551	$ARG1 was raised in $ARG2
P551	$ARG1 has been living in $ARG2
P551	$ARG1 resides in $ARG2
P551	$ARG1 resided in $ARG2
P551	$ARG1 's house in $ARG2
P551	$ARG1 's home in $ARG2
P551	$ARG1 has a house in $ARG2
P551	$ARG1 immigrated to $ARG2
P551	$ARG1 spent his childhood in $ARG2
P551	$ARG1 , born in $ARG2
P551	$ARG1 was born in $ARG2

P551	$ARG2 citizen $ARG1
P551	$ARG2 , home of $ARG1
P551	$ARG2 , hometown of $ARG1
P551	$ARG2 is the hometown of $ARG1
P551	$ARG2 citizen , $ARG1
P551	$ARG1 is a $ARG2 citizen
P551	$ARG1 is an $ARG2 citizen
P551	$ARG1, a $ARG2 citizen
P551	$ARG1, an $ARG2 citizen

# capital of -> P1376
P1376	$ARG1 , the capital of $ARG2
P1376	$ARG1 is the capital of $ARG2
P1376	$ARG1 was the capital of $ARG2
P1376	$ARG1 , the * capital of $ARG2
P1376	$ARG1 is the * capital of $ARG2
P1376	$ARG1 was the * capital of $ARG2
P1376	$ARG1 , the capital of * $ARG2
P1376	$ARG1 is the capital of * $ARG2
P1376	$ARG1 was the capital of $ARG2
P1376	$ARG1 , the * capital of * $ARG2
P1376	$ARG1 is the * capital of * $ARG2
P1376	$ARG1 was the * capital of *$ARG2

# country -> P17
P17	$ARG1 * the state of $ARG2
P17	$ARG1 * the state of * , $ARG2
P17	$ARG1 * the state of * , * $ARG2
P17	$ARG1 * the * state of * , $ARG2
P17	$ARG1 * the * state of * , $ARG2
P17	$ARG1 * the * state of * , * $ARG2
P17	$ARG1 * the province of $ARG2
P17	$ARG1 * the province of * , $ARG2
P17	$ARG1 * the province of * , * $ARG2
P17	$ARG1 * the * province of * , $ARG2
P17	$ARG1 * the * province of * , $ARG2
P17	$ARG1 * the * province of * , * $ARG2
P17	$ARG1 * the prefecture of $ARG2
P17	$ARG1 * the prefecture of * , $ARG2
P17	$ARG1 * the prefecture of * , * $ARG2
P17	$ARG1 * the * prefecture of * , $ARG2
P17	$ARG1 * the * prefecture of * , $ARG2
P17	$ARG1 * the * prefecture of * , * $ARG2


# educated at P69
P69	$ARG1 graduated from $ARG2
P69	$ARG1 graduated in * from $ARG2
P69	$ARG1 attended * at $ARG2
P69	$ARG1 attended $ARG2
P69	$ARG1 earned his * at $ARG2
P69	$ARG1 holds a * from $ARG2
P69	$ARG1 holds a * in * from $ARG2
P69	$ARG1 , who holds a * in * from $ARG2
P69	$ARG1 , who holds a * from $ARG2
P69	$ARG1 has a * from $ARG2
P69	$ARG1 has a * in * from $ARG2
P69	$ARG1 , who has a * in * from $ARG2
P69	$ARG1 , who has a * from $ARG2
# This should match the sentence:
#Erraguntla , who has a masters degree in computer engineering from the University of Lousiana
P69	$ARG1 studied at $ARG2
P69	$ARG1 is a student at $ARG2
P69	$ARG1 was a student at $ARG2
P69	$ARG1 is a $ARG2 student
P69	$ARG1, a $ARG2 student
P69	$ARG1 is an $ARG2 student
P69	$ARG1, an $ARG2 student
P69	$ARG1 is a $ARG2 graduate
P69	$ARG1, a $ARG2 graduate
P69	$ARG1 is an $ARG2 graduate
P69	$ARG1, an $ARG2 graduate
P69	$ARG1 is a $ARG2 alumnus
P69	$ARG1, a $ARG2 alumnus
P69	$ARG1 is an $ARG2 alumnus
P69	$ARG1, an $ARG2 alumnus
P69	$ARG2 gradute $ARG1
P69	$ARG2 student $ARG1
P69	$ARG2 alumnus $ARG1


# job title
#per:title $ARG1 was appointed $ARG2
#per:title $ARG1 was nominated $ARG2
#per:title $ARG1 was elected as $ARG2
#per:title $ARG1 , a $ARG2
#per:title $ARG1 , an $ARG2
#per:title $ARG1 , the $ARG2
#per:title $ARG1 , a former $ARG2
#per:title $ARG1 , an a former $ARG2
#per:title $ARG1 is a $ARG2
#per:title $ARG1 is an $ARG2
#per:title $ARG1 is the $ARG2
#per:title $ARG2 works as a $ARG1
#per:title $ARG2 works as an $ARG1
#per:title $ARG1 was a $ARG2
#per:title $ARG1 was an $ARG2
#per:title $ARG2 worked as a $ARG1
#per:title $ARG2 worked as an $ARG1
# TODO: high-recall vs. high-precision patterns
#per:title $ARG2 $ARG1



# per:member_of -> P463, P54
P463	$ARG1 is a member of $ARG2
P463	$ARG2 member $ARG1
P463	$ARG1 is a fellow of $ARG2
P463	$ARG2 fellow $ARG1
P463	$ARG1 became a member of $ARG2
P463	$ARG1 became $ARG2 member
P463	$ARG1 became a fellow of $ARG2
P463	$ARG1 became $ARG2 fellow
P463	$ARG1 joined $ARG2
P463	$ARG1 is leaving $ARG2
P463	$ARG1 left $ARG2

P463	$ARG1 worked for $ARG2
P463	$ARG1 works for $ARG2
P463	$ARG1 has been working for $ARG2
P463	$ARG1 was working for $ARG2
P463	$ARG1 had working for $ARG2
P463	$ARG1 was employed by $ARG2
P463	$ARG1 is employed by $ARG2
P463	$ARG1 , an $ARG2 employee
P463	$ARG1 , a $ARG2 employee
P463	$ARG1 was hired by $ARG2
P463	$ARG1 has been hired by $ARG2
